site_name,catchment,catchment_confidence,merge_rule_applied,method_1_catchment,method_1_confidence,method_2_catchment,method_2_confidence,transmission_catchment,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags,notes
Novocastrian Offshore Wind Farm,HCC,medium,no_coord_m1_backstop,HCC,medium,,,HCC,Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton),Novocastrian,2000.0,Wind Turbine - Offshore,Wind - Wind,OceanEx Energy,,,,
Ulladulla Offshore Wind Farm,ILW,medium,no_coord_m1_backstop,ILW,medium,,,ILW,Illawarra REZ corridor (Dapto/Avon/Wollongong),Ulladulla,2000.0,Wind Turbine - Offshore,Wind - Wind,OceanEx Energy,,,,
Wollongong Offshore Wind,ILW,medium,no_coord_m1_backstop,ILW,medium,,,ILW,Illawarra REZ corridor (Dapto/Avon/Wollongong),Wollongong,,,,,,,,
Baldon Wind Farm,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Baldon,360.0,Wind Turbine - Onshore,Wind - Wind,Baldon Wind Farm Pty Ltd,,,,
Birdwood Energy Reserve,CN-VIC,high,excluded_m1,Unclassified,review,CN-VIC,high,Unclassified,No rule matched — manual review needed,,,,,,,,,
Bonshaw Hybrid Solar Farm,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Bonshaw,,,,,,,,
Capital Battery,ILW,high,agree,ILW,medium,ILW,high,ILW,Illawarra REZ corridor (Dapto/Avon/Wollongong),Capital,100.32,Storage - Battery,Other - Other,Capital Battery Pty Ltd,,,,
Cethana Pumped Hydro Option,TAS-NW,high,no_coord_m1_backstop,TAS-NW,high,,,TAS-NW,Tasmania single catchment (NW Transmission Devs + Central Highlands hydro) — single user-specified catchment covers all TAS1 sites,(TAS region),750.0,Storage - Pumped hydro,Hydro - Water,Hydro-Electric Corporation,,,,
Donnybrook project,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Elaine Solar Farm & BESS Hybrid,WV,medium,no_coord_m1_backstop,WV,medium,,,WV,Western Victoria REZ corridor (Bulgana/Ararat/WRL),Elaine,125.0,Solar PV - Fixed,Solar - Solar, Elgin Energy Pty Ltd,,,,
