site_name,catchment,catchment_confidence,merge_rule_applied,method_1_catchment,method_1_confidence,method_2_catchment,method_2_confidence,transmission_catchment,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags,notes
Pottinger Energy Park - Solar - KCI,NEW,high,agree,NEW,review,NEW,high,NEW,"New England REZ corridor (Armidale/Tamworth/Dumaresq) — shared keyword across REZs: ['CWO', 'NEW']; primary assignment based on substation locality",Pottinger Energy Park,299.52,Solar PV - Fixed,Solar - Solar,Pottinger Renewables P/L,,,,
Pottinger Energy Park - Wind - KCI,NEW,high,agree,NEW,review,NEW,high,NEW,"New England REZ corridor (Armidale/Tamworth/Dumaresq) — shared keyword across REZs: ['CWO', 'NEW']; primary assignment based on substation locality",Pottinger Energy Park,1300.0,Wind Turbine - Onshore,Wind - Wind,Pottinger Renewables P/L,,,,
Project Monash - Solar - KCI,RIV,high,agree,RIV,medium,RIV,high,RIV,Riverland REZ corridor (Renmark/Berri/Loxton),Monash,375.0,Solar PV - Fixed,Solar - Solar,Monash Renewables Pty Ltd,,,,
Project Monash - Storage - KCI,RIV,medium,no_coord_m1_backstop,RIV,medium,,,RIV,Riverland REZ corridor (Renmark/Berri/Loxton),Monash,125.0,Storage - Battery,Other - Other,Monash Renewables Pty Ltd,,,,
Ravenswood BESS,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Ravenswood,20.0,Storage - Battery,Other - Other,FRV Services Australia,,,,
Ravenswood Solar Farm - FRV,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Ravenswood,63.0,Solar PV - Fixed,Solar - Solar,FRV Services Australia,,,,
Richmond Valley BESS,NEW,review,excluded_m1,Unclassified,review,NEW,review,Unclassified,No rule matched — manual review needed,,275.0,Storage - Battery,Other - Other,ARK ENERGY CORPORATION PTY LTD ,,,,
Robertstown Solar,MN,high,no_coord_m1_backstop,MN,high,,,MN,Mid-North SA REZ corridor (Robertstown/Davenport/Cultana),Robertstown,500.0,Solar PV - Single axis tracking,Solar - Solar,Robertstown Project (Solar) Operations Pty Ltd,,,,
Rollsville Hybrid Facility - Battery,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Rollsville,110.0,Storage - Battery,Other - Other,X-Elio Australia Pty Ltd,,,,
Rollsville Hybrid Facility - Solar,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Rollsville,220.0,Solar PV - Fixed,Solar - Solar,X-Elio Australia Pty Ltd,,,,
Salisbury Solar 450MW,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Salisbury,280.0,Solar PV - Single axis tracking,Solar - Solar,Origin Energy Pty Ltd,,,,
Silverleaf Solar Farm - KCI,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Silverleaf,120.0,Solar PV - Fixed,Solar - Solar,International Power (Australia) Pty Ltd,,,,
Smithfield BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,86.4,Storage - Battery,Other - Other,Smithfield BESS Pty Limited,,,,
South Hummocks BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Spicers Creek Wind Farm,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Spicers Creek,702.0,Wind Turbine - Onshore,Wind - Wind,Squadron Energy Services Pty Ltd,,,,
Spinifex Offshore Wind Farm,GIP,medium,no_coord_m1_backstop,GIP,medium,,,GIP,Gippsland REZ corridor (Latrobe Valley 500 kV),Spinifex,1200.0,Wind Turbine - Offshore,Wind - Wind,Alinta Energy Retail Sales Pty Ltd,,,,
Springvale Energy Hub - BESS,CN-VIC,medium,agree,CN-VIC,medium,CN-VIC,medium,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Springvale,,,,,,,,
Stanhope BESS Project 01,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Stanhope,20.0,Storage - Battery,Solar - Solar,Globird Energy Pty Ltd,,,,
Stanhope BESS Project 02,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Stanhope,,,,,,,,
Summerfield BESS,MN,medium,no_coord_m1_backstop,MN,medium,,,MN,Mid-North SA REZ corridor (Robertstown/Davenport/Cultana),Summerfield,120.0,Storage - Battery,Other - Other,CI Summerfield BESS Pty Ltd (ACN 656 223 773) as trustee for the CI Summerfield BESS Trust,,,,
Tamworth BESS - Valent,NEW,high,agree,NEW,high,NEW,high,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Tamworth,,,,,,,,
Tchelery Wind Farm - KCI,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Tchelery,,,,,,,,
Templers B BESS,MN,high,agree,MN,high,MN,medium,MN,Mid-North SA REZ corridor (Robertstown/Davenport/Cultana),Templers,200.0,Storage - Battery,Other - Other,BORAL,,,,
Thomastown BESS,CN-VIC,high,excluded_m1,Unclassified,review,CN-VIC,high,Unclassified,No rule matched — manual review needed,,300.0,Storage - Battery,Other - Other,Ausnet Transmission Group Pty Ltd,,,,
Tomago BESS (AGL),HCC,high,no_coord_m1_backstop,HCC,high,,,HCC,Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton),Tomago,,,,,,,,
Tramway BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Tungkillo BESS - KCI,SE-SA,high,agree,SE-SA,high,SE-SA,high,SE-SA,South-East SA REZ corridor (Tailem Bend/Tungkillo/Heywood interconnector),Tungkillo,,,,,,,,
Vast Solar 1,EYR,medium,no_coord_m1_backstop,EYR,medium,,,EYR,EYR,Vast Solar,34.0,Solar Thermal - Other,Solar - Solar, Vast Solar 1 Pty Ltd,,,,
Wagga North BESS - KCI,SW-NSW,high,no_coord_m1_backstop,SW-NSW,high,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Wagga,105.0,Storage - Battery,Solar - Solar,ZEN Energy Future Pty Ltd,,,,
Wagga Wagga Solar Farm,SW-NSW,high,agree,SW-NSW,high,SW-NSW,high,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Wagga Wagga,,,,,,,,
Wattle Creek Energy Hub - Battery Storage,ILW,high,corridor_misread_m2,CWO,medium,ILW,high,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Wattle Creek,350.0,Storage - Battery,Other - Other,Wattle Creek Energy Hub P/L,,,,Marulan substation ILW-coded (boundary with SW-NSW per lookup note); kept ILW
Wattle Creek Energy Hub - Solar / BESS,ILW,high,corridor_misread_m2,CWO,medium,ILW,high,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Wattle Creek,265.0,Solar PV - Fixed,Solar - Solar,Wattle Creek Energy Hub P/L,,,,Marulan substation ILW-coded (boundary with SW-NSW per lookup note); kept ILW
Wellington BESS 2 - KCI,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Wellington,,,,,,,,
Wellington Town BESS - KCI,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Wellington,,,,,,,,
Western Sydney Pumped Hydro Project,SW-NSW,review,boundary_swap_m1_med_far,ILW,medium,SW-NSW,medium,ILW,Illawarra REZ corridor (Dapto/Avon/Wollongong),Western Sydney,1000.0,Storage - Pumped hydro,Hydro - Water,Zen Energy Retail Pty Ltd,,,,
Wodonga BESS - KCI,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Wodonga,,,,,,,,
Yanco BESS,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Yanco,249.92,Storage - Battery,Other - Other,Acenergy Pty Ltd,,,,
Yanco Delta Wind Farm Stage 1 - Battery,SW-NSW,medium,agree,SW-NSW,medium,SW-NSW,medium,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Yanco,,,,,,,,
Augusta BESS,MN,high,agree,MN,medium,MN,high,MN,Mid-North SA REZ corridor (Robertstown/Davenport/Cultana),Augusta,270.0,Storage - Battery,Other - Other,Augusta BESS Pty Ltd,,,,
Broken Creek Solar Farm - KCI,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Broken Creek,173.0,Solar PV - Fixed,Solar - Solar,BSR EPC Pty Limited,,,,
Comet Park BESS - KCI,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Comet Park,189.0,Storage - Battery,Other - Other,Samsung C&T Renewable Energy Australia Pty Ltd.,,,,
Conroys Gap WF - KCI,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Conroys Gap,30.0,Wind Turbine - Onshore,Wind - Wind,Waldren Construction Pty Ltd.,,,,
Dapper Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,4.2,Solar PV - Single axis tracking,Solar - Solar,BORAL,,,,
Everleigh Solar Farm & BESS - KCI,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Everleigh,200.0,Solar PV - Fixed,Solar - Solar,Everleigh Solar Park Pty Ltd,,,,
Goyder North Stage 1 Wind farm - KCI,MN,high,agree,MN,medium,MN,high,MN,Mid-North SA REZ corridor (Robertstown/Davenport/Cultana),Goyder North,,,,,,,,
Griffith BESS - KCI,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Griffith,,,,,,,,
Gullen Range Battery Energy System,SW-NSW,high,agree,SW-NSW,medium,SW-NSW,high,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Gullen Range,500.0,Storage - Battery,Other - Other,goldwindaustralia_NR,,,,
Holloway BESS - KCI,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Holloway,561.6,Storage - Battery,Other - Other,Bushranger Project Pty Ltd.,,,,
Hunter Power Station,HCC,high,agree,HCC,medium,HCC,high,HCC,Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton),Hunter,375.0,Turbine - OCGT,Fossil - Natural Gas Pipeline,Snowy Hydro Limited,,,,
Lake Victoria Energy Park - KCI,SW-NSW,medium,agree,SW-NSW,medium,SW-NSW,review,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Lake Victoria,1087.5,Storage - Battery,Other - Other,Lake Victoria Wind Farm Pty Ltd atf Lake Victoria Wind Farm unit trust,,,,
Lambruk Solar Project,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Lambruk,360.8,Solar PV - Single axis tracking,Solar - Solar, Venn Energy Pty Ltd / Acacia Solar Project Pty Ltd.,,,,
Mangoplah BESS - KCI,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Mangoplah,104.0,Storage - Battery,Other - Other,Samsung C&T Renewable Energy Australia Pty Ltd.,,,,
Markaranka Solar and Storage,RIV,medium,no_coord_m1_backstop,RIV,medium,,,RIV,Riverland REZ corridor (Renmark/Berri/Loxton),Markaranka,375.0,Solar PV - Single axis tracking,Solar - Solar,Monash Energy Pty Ltd,,,,
Maryvale Solar and Energy Storage System,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Maryvale,172.02,Solar PV - Single axis tracking,Solar - Solar,Maryvale Solar Farm Pty Ltd ,,,,
Maxwell Downs Bess - KCI,HCC,high,boundary_swap_m1_review,CWO,review,HCC,high,CWO,"Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar) — shared keyword across REZs: ['CWO', 'HCC']; primary assignment based on substation locality",Maxwell Downs,,,,,,,,
Mt Mercer BESS,WV,medium,no_coord_m1_backstop,WV,medium,,,WV,Western Victoria REZ corridor (Bulgana/Ararat/WRL),Mt Mercer,80.0,Storage - Battery,Other - Other,Foresight Australia,,,,
Muskerry Solar Power Station - KCI,CN-VIC,high,agree,CN-VIC,medium,CN-VIC,high,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Muskerry,200.0,Solar PV - Fixed,Solar - Solar,Edify Energy Pty Ltd,,,,
Narrabri Hybrid Project,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Narrabri,4.6,Solar PV - Single axis tracking,Solar - Solar, Narrabri Genesis Hold Pty Ltd ATF Narrabri Genesis Hold Trust,,,,
Northern Tablelands Wind Farm,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Tablelands,8.0,Wind Turbine - Onshore,Wind - Wind,BORAL,,,,
Sandy Point Hybrid - Solar,HCC,medium,no_coord_m1_backstop,HCC,medium,,,HCC,Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton),Sandy Point,180.6,Solar PV - Single axis tracking,Solar - Solar,Samsung C&T Renewable Energy Australia Pty Ltd.,,,,
Sandy Point Hybrid - Storage,HCC,medium,no_coord_m1_backstop,HCC,medium,,,HCC,Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton),Sandy Point,201.6,Storage - Battery,Other - Other,Samsung C&T Renewable Energy Australia Pty Ltd.,,,,
South Coree BESS,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),South Coree,84.0,Storage - Battery,Other - Other,Samsung C&T Renewable Energy Australia Pty Ltd,,,,
Stubbo BESS,CWO,high,agree,CWO,medium,CWO,high,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Stubbo,200.0,Storage - Battery,Other - Other,Stubbo 1 Pty Ltd. ACN 658 322 457 as The Trustee for Stubbo 1 Solar Project Trust,,,,
Tchelery Wind Farm,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Tchelery,599.99,Wind Turbine - Onshore,Wind - Wind,Neoen Australia Pty Ltd,,,,
Upper Hunter BESS,HCC,medium,no_coord_m1_backstop,HCC,medium,,,HCC,Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton),Upper Hunter,400.0,Storage - Battery,Other - Other,Maizewood Pty Ltd.,,,,
Waubra BESS - KCI,WV,high,agree,WV,medium,WV,high,WV,Western Victoria REZ corridor (Bulgana/Ararat/WRL),Waubra,200.0,Storage - Battery,Other - Other,Acciona Energy Australia Global,,,,
Winton BESS - KCI,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Winton,,,,,,,,
Wollar BESS,CWO,high,no_coord_m1_backstop,CWO,high,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Wollar,300.0,Storage - Battery,Other - Other,Wollar Solar Finance Pty Ltd.,,,,
Yadnarie Solar Farm,MN,medium,no_coord_m1_backstop,MN,medium,,,MN,"Mid-North SA REZ corridor (Robertstown/Davenport/Cultana) — shared keyword across REZs: ['EYR', 'MN']; primary assignment based on substation locality",Yadnarie,192.0,Solar PV - Fixed,Solar - Solar,Photon Energy Group,,,,
Yoorndoo Ilga Solar - KCI,MN,high,agree,MN,review,MN,high,MN,"Mid-North SA REZ corridor (Robertstown/Davenport/Cultana) — shared keyword across REZs: ['EYR', 'MN']; primary assignment based on substation locality",Yoorndoo Ilga,250.0,Solar PV - Fixed,Solar - Solar,Yoorndoo Ilga Solar Pty Ltd,,,,
Argoon Wind Farm (RES Group) - KCI,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Argoon,612.0,Wind Turbine - Onshore,Wind - Wind,RES Australia Pty Ltd,,,,
Bannaby BESS (AMPYR) - KCI,ILW,medium,agree,ILW,medium,ILW,medium,ILW,Illawarra REZ corridor (Dapto/Avon/Wollongong),Bannaby,,,,,,,,
Baranduda Electrical Energy Reserve,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Baranduda,544.36,Storage - Battery,Other - Other, Birdwood Energy Reserve Pty Ltd (ACN 658 507 441) as Trustee for Birdwood Energy Reserve Trust,,,,
Boulka Park Solar Farm,MR,medium,no_coord_m1_backstop,MR,medium,,,MR,Murray River REZ corridor (Kerang/Red Cliffs/PEC western feed),Boulka Park,100.0,Solar PV - Single axis tracking,Solar - Solar,The Trustee for X-ELIO BOULKA PARK TRUST,,,,
Brooklyn LFG U1-3,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,2.83,Reciprocating Engine - Spark ignition,Other - Other,EDL LFG Vic Pty Ltd,,,,
Camperdown  BESS - Quintas,SW-VIC,medium,no_coord_m1_backstop,SW-VIC,medium,,,SW-VIC,South-West Victoria REZ corridor (Mortlake/Moorabool/Heywood),Camperdown,,,,,,,,
Central Para Wind Farm (KCI),SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Central Para,399.0,Wind Turbine - Onshore,Wind - Wind,Macleay Ventures Pty Ltd.,,,,
Cobbora BESS,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Cobbora,520.8,Storage - Battery,Other - Other,Pacific Partnerships,,,,
Cobbora Solar Farm,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Cobbora,818.4,Solar PV - Fixed,Solar - Solar,pacificp_NR,,,,
Cobden BESS - Quintas,SW-VIC,medium,no_coord_m1_backstop,SW-VIC,medium,,,SW-VIC,South-West Victoria REZ corridor (Mortlake/Moorabool/Heywood),Cobden,60.0,Storage - Battery,Other - Other,Cobden BESS Pty Ltd,,,,
Cooma Hybrid BESS and Solar Farm (ACEN),SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Cooma,100.0,Solar PV - Fixed,Solar - Solar,ACEN RENEWABLES,,,,
Coonawarren BESS - KCI,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Derby Solar Farm & BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,95.1,Solar PV - Single axis tracking,Solar - Solar,DERBY SOLAR PROJECT PTY LTD ,,,,
Dubbo Solar Hub,CWO,high,agree,CWO,medium,CWO,high,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Dubbo,,,,,,,,
Galore Energy Project - Solar And BESS - KCI,SW-NSW,high,excluded_m1,Unclassified,review,SW-NSW,high,Unclassified,No rule matched — manual review needed,,,,,,,,,
George Town BESS - KCI,TAS-NW,high,agree,TAS-NW,high,TAS-NW,high,TAS-NW,Tasmania single catchment (NW Transmission Devs + Central Highlands hydro) — single user-specified catchment covers all TAS1 sites,(TAS region),350.0,Storage - Battery,Other - Other,Recurrent Energy,,,,
Glenrowan BESS (KCI),CN-VIC,high,agree,CN-VIC,medium,CN-VIC,high,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Glenrowan,,,,,,,,
Goorambat East Solar Farm (ENGIE),CN-VIC,high,agree,CN-VIC,medium,CN-VIC,high,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Goorambat,250.0,Solar PV - Single axis tracking,Solar - Solar,Engie,,,,
Goulburn River Solar Farm And BESS,HCC,high,agree,HCC,review,HCC,high,HCC,"Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton) — shared keyword across REZs: ['CWO', 'HCC', 'SW-NSW']; primary assignment based on substation locality",Goulburn River Solar,588.0,Solar PV - Single axis tracking,Solar - Solar,Goulburn River Fund Pty Ltd,,,,
Grafton Rd BESS (KCI),Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Great Lakes BESS,TAS-NW,high,agree,TAS-NW,high,TAS-NW,high,TAS-NW,Tasmania single catchment (NW Transmission Devs + Central Highlands hydro) — single user-specified catchment covers all TAS1 sites,(TAS region),,,,,,,,
Greenpulse BESS (KCI),Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Greenpulse Solar Farm (KCI),Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Hanworth BESS - KCI,NEW,medium,boundary_swap_m1_review,CWO,review,NEW,medium,CWO,"Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar) — shared keyword across REZs: ['CWO', 'NEW']; primary assignment based on substation locality",Hanworth,,,,,,,,
Hazelwood BESS - KCI,GIP,high,no_coord_m1_backstop,GIP,high,,,GIP,Gippsland REZ corridor (Latrobe Valley 500 kV),Hazelwood,150.0,Storage - Battery,Other - Other,International Power (Australia) Pty Ltd,,,,
Hazelwood BESS (Ironwood) - KCI,GIP,high,no_coord_m1_backstop,GIP,high,,,GIP,Gippsland REZ corridor (Latrobe Valley 500 kV),Hazelwood,,,,,,,,
KIEWA VALLEY BESS,CN-VIC,high,agree,CN-VIC,medium,CN-VIC,high,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Kiewa Valley,500.0,Storage - Battery,Other - Other,KIEWA VALLEY BESS NOMINEES PTY LTD on behalf of KIEWA VALLEY BESS Trust        ,,,,
LINCOLN GAP BESSBDU,EYR,medium,no_coord_m1_backstop,EYR,medium,,,EYR,EYR,Lincoln Gap,10.0,Storage - Battery,Other - Other,Lincoln Gap Wind Farm (Operations) Pty Ltd,,,,
Malunga BESS - KCI,SW-VIC,medium,excluded_m1,Unclassified,review,SW-VIC,medium,Unclassified,No rule matched — manual review needed,,,,,,,,,
Meering BESS,MR,medium,agree,MR,medium,MR,medium,MR,Murray River REZ corridor (Kerang/Red Cliffs/PEC western feed),Meering,250.0,Storage - Battery,Wind - Wind,Virya Energy Pty Ltd,,,,
Meering Wind Farm,MR,medium,agree,MR,medium,MR,medium,MR,Murray River REZ corridor (Kerang/Red Cliffs/PEC western feed),Meering,1500.0,Wind Turbine - Onshore,Wind - Wind,Virya Energy Pty Ltd,,,,
Melbourne Regional Landfill,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,8.88,Reciprocating Engine - Spark ignition,Renewable Biomass or Waste - Landfill Gas,Landfill Operations Pty Ltd,,,,
Moah Creek Solar Farm (RES),CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Moah Creek,350.0,Solar PV - Fixed,Solar - Solar,Moah Creek Solar Development Co Pty Ltd,,,,
Molong BESS (KCI),CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Molong,150.24,Storage - Battery,Other - Other,StorEnergy 3 Pty Ltd,,,,
Mt View Wind Farm (KCI),HCC,medium,no_coord_m1_backstop,HCC,medium,,,HCC,Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton),Mt View,750.0,Wind Turbine - Onshore,Wind - Wind,Woodside Energy Technologies Pty Ltd,,,,
Mugga Lane BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,12.0,Storage - Battery,Other - Other,LGI,,,,
Mugga Lane Renewable Hybrid,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,6.39,Other - Other,Renewable Biomass or Waste - Landfill Gas,LGIGEN,,,,
Muswellbrook Solar Farm,HCC,medium,no_coord_m1_backstop,HCC,medium,,,HCC,Hunter-Central Coast REZ corridor (Bayswater/Eraring/Singleton),Muswellbrook,135.0,Solar PV - Fixed,Solar - Solar,Ox2,,,,
Myrtle Creek BESS,NEW,review,excluded_m1,Unclassified,review,NEW,review,Unclassified,No rule matched — manual review needed,,275.0,Storage - Battery,Other - Other,ARK Energy Corporation Pty Ltd,,,,
Normanville Energy Park - Wind (KCI),CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Normanville,120.0,Wind Turbine - Onshore,Wind - Wind,Westwind Development Pty Ltd,,,,
North Yarragon BESS - KCI,GIP,medium,agree,GIP,medium,GIP,medium,GIP,Gippsland REZ corridor (Latrobe Valley 500 kV),North Yarragon,210.0,Storage - Battery,Other - Other,Zen Energy,,,,
Nowingi Solar Farm - Edify (KCI),MR,medium,agree,MR,medium,MR,medium,MR,Murray River REZ corridor (Kerang/Red Cliffs/PEC western feed),Nowingi,750.0,Solar PV - Fixed,Solar - Solar,Edify Energy Pty Ltd,,,,
Port Augusta Solar Farm (KCI),EYR,high,boundary_swap_m1_review,MN,review,EYR,high,MN,"Mid-North SA REZ corridor (Robertstown/Davenport/Cultana) — shared keyword across REZs: ['EYR', 'MN']; primary assignment based on substation locality",Port Augusta,300.0,Solar PV - Fixed,Solar - Solar,Edify Energy Pty Ltd,,,,
Romani Standalone BESS,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Romani,240.0,Storage - Battery,Other - Other,Samsung C&T Renewable Energy Australia Pty Ltd,,,,
Springdale Solar Farm - KCI,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Springdale,100.0,Solar PV - Fixed,Solar - Solar,RES Australia Pty Ltd,,,,
Springvale Energy Hub,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Springvale,115.0,Storage - Battery,Other - Other,progresspower_nr,,,,
Sturt Solar,MN,medium,no_coord_m1_backstop,MN,medium,,,MN,Mid-North SA REZ corridor (Robertstown/Davenport/Cultana),Sturt Solar,300.0,Solar PV - Single axis tracking,Solar - Solar,Sturt Solar PTY LTD,,,,
