region,site_name,method_1_catchment,method_1_confidence,method_1_matched_keyword,method_2_catchment,method_2_confidence,method_2_nearest_substation,method_2_distance_km,agree,disagreement_class,disagreement_severity,best_capacity_mw
VIC1,Gannawarra Energy Storage System,MR,medium,Gannawarra,MR,high,Kerang,14.49,Y,,,25.33
VIC1,Gannawarra Solar Farm,MR,medium,Gannawarra,MR,high,Kerang,14.4,Y,,,55.0
VIC1,Geelong BESS,SW-VIC,medium,Geelong,SW-VIC,medium,Geelong,7.53,Y,,,250.0
VIC1,Girgarre Solar Farm,CN-VIC,medium,Girgarre,CN-VIC,high,Stanhope,3.98,Y,,,93.48
VIC1,Glenbrae BESS,WV,medium,Glenbrae,WV,high,Waubra,3.34,Y,,,250.0
VIC1,Glenrowan BESS (KCI),CN-VIC,medium,Glenrowan,CN-VIC,high,Glenrowan,0.09,Y,,,
VIC1,Glenrowan BESS - Storage - KCI,CN-VIC,medium,Glenrowan,CN-VIC,high,Glenrowan,0.09,Y,,,400.0
VIC1,Glenrowan West Solar Farm,CN-VIC,medium,Glenrowan,CN-VIC,high,Glenrowan,2.23,Y,,,132.0
VIC1,Goorambat BESS,CN-VIC,medium,Goorambat,CN-VIC,medium,Goorambat,2.35,Y,,,
VIC1,Goorambat BESS (Lighthouse),CN-VIC,medium,Goorambat,CN-VIC,medium,Goorambat,2.35,Y,,,800.0
VIC1,Goorambat East Solar Farm (ENGIE),CN-VIC,medium,Goorambat,CN-VIC,high,Goorambat,1.43,Y,,,250.0
VIC1,Haunted Gully BESS,WV,medium,Haunted Gully,WV,high,Haunted Gully,0.15,Y,,,
VIC1,Haunted Gully BESS - KCI,WV,medium,Haunted Gully,WV,high,Haunted Gully,0.15,Y,,,400.0
VIC1,Hawkesdale BESS - Storage - KCI,SW-VIC,medium,Hawkesdale,SW-VIC,medium,Macarthur,12.94,Y,,,
VIC1,Hazelwood Battery Energy Storage System (HBESS),GIP,high,Hazelwood,GIP,high,Morwell,2.98,Y,,,200.07
VIC1,Hazelwood Battery Energy Storage System Facility,GIP,high,Hazelwood,GIP,medium,Morwell,0.7,Y,,,
VIC1,Hazelwood North Solar Farm - KCI,GIP,high,Hazelwood,GIP,medium,Morwell,0.7,Y,,,480.0
VIC1,Heywood Terminal Station BESS,SW-VIC,high,Heywood,SW-VIC,medium,Portland,22.87,Y,,,
VIC1,Heywood Terminal Station BESS - KCI,SW-VIC,high,Heywood,SW-VIC,medium,Portland,22.87,Y,,,
VIC1,Jeeralang BESS (Maoneng),GIP,medium,Jeeralang,GIP,medium,Jeeralang,0.0,Y,,,
VIC1,Jeeralang Battery,GIP,medium,Jeeralang,GIP,high,Jeeralang,0.0,Y,,,
VIC1,Joel BESS,WV,medium,Joel,WV,high,Bulgana,0.01,Y,,,296.7
VIC1,KIEWA VALLEY BESS,CN-VIC,medium,Kiewa Valley,CN-VIC,high,Dederang,0.0,Y,,,500.0
VIC1,Karadoc Solar Farm,MR,medium,Karadoc,MR,high,Red Cliffs,13.11,Y,,,104.5
VIC1,Kentbruck Green Power Hub,GIP,medium,Kentbruck,SW-VIC,medium,Cape Bridgewater,37.48,N,boundary_swap,low,600.0
VIC1,Kerang BESS (BSR),MR,high,Kerang,MR,medium,Kerang,4.27,Y,,,300.0
VIC1,Kiamal Solar Farm - Stage 1,MR,medium,Kiamal,MR,high,Ouyen,4.43,Y,,,199.95
VIC1,Kiata Wind Farm,WV,medium,Kiata,WV,review,Horsham,57.1,Y,,,31.05
VIC1,Koorangie BESS Stage 2,CN-VIC,review,Koorangie,MR,high,Kerang,8.97,N,boundary_swap,low,150.0
VIC1,Koorangie Energy Storage System,CN-VIC,review,Koorangie,MR,high,Kerang,8.97,N,boundary_swap,low,185.0
VIC1,Kyabram Wind Farm,Unclassified,review,,MR,high,Echuca,14.2,N,excluded_method_1,medium,
VIC1,LYA BESS,CN-VIC,review,LYA,GIP,high,Loy Yang,1.62,N,boundary_swap,low,200.0
VIC1,Latrobe Solar Farm,GIP,medium,Latrobe,GIP,medium,Morwell,3.41,Y,,,400.0
VIC1,Laverton North,Unclassified,review,,SW-VIC,high,Newport,9.21,N,excluded_method_1,medium,156.0
VIC1,Learmonth BESS,WV,medium,Learmonth,WV,high,Waubra,12.46,Y,,,268.0
VIC1,Little River BESS,SW-VIC,medium,Little River,SW-VIC,medium,Geelong,16.88,Y,,,350.0
VIC1,Lovely Banks Renewable Energy Hub,WV,medium,Lovely Banks,SW-VIC,high,Moorabool,0.2,N,boundary_swap,low,
VIC1,Lovely Banks Renewable Energy Hub - KCI,WV,medium,Lovely Banks,SW-VIC,high,Moorabool,0.2,N,boundary_swap,low,400.0
VIC1,Loy Yang A Power Station,GIP,high,Loy Yang,GIP,high,Loy Yang B,0.31,Y,,,560.0
VIC1,Loy Yang B,GIP,high,Loy Yang,GIP,high,Loy Yang B,1.18,Y,,,580.0
VIC1,Loy Yang B Power Station - BESS Stage 1 - KCI,GIP,high,Loy Yang,GIP,high,Loy Yang B,1.18,Y,,,250.0
VIC1,Loy Yang BESS,GIP,high,Loy Yang,GIP,high,Loy Yang B,0.42,Y,,,
